  0.17663645744323730      -0.26898837089538574       0.11373567581176758        9.0763871430502689       -7.0619729562370545E-002  -9.0783259873375904E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.44419455528259277       0.42427754402160645      -0.16458702087402344        7.2435656841475486       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.21066069602966309       0.42796134948730469      -0.24993705749511719        7.4164945695450060       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.30901145935058594      -0.44438862800598145       0.16186332702636719        7.5315121435281638       -1.4496950303574832E-003  -1.7701620084667978E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.43996334075927734       0.46638774871826172      -0.42088079452514648        5.9925397610591444       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.25991487503051758       0.39114975929260254        5.4386854171752930E-002   8.5579013145899374       -7.0619729562370531E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
   8.3501577377319336E-002  0.41248679161071777      -0.33259248733520508        8.4862498356281506       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.12161970138549805        6.4634799957275391E-002  0.31758809089660645        9.2072962839530383       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.29531431198120117      -0.34560513496398926       0.41659522056579590        6.4166556955121061       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.28219556808471680       0.14039587974548340      -0.36596679687500000        7.9473362552015212       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.19772076606750488        9.3719005584716797E-002  0.13602018356323242        9.5230586516765392      -0.14967530103360499      -0.18217811521589039     	              * E(2) is                  -0.149675301034 a.u.  *
   9.1996908187866211E-002  0.19541358947753906       0.31825423240661621        8.7962358329947428       -7.0619729562370545E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  -9.9974870681762695E-002 -0.27502679824829102      -0.37179636955261230        8.4715511446253053       -7.0619729562370545E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.22011613845825195       0.49389338493347168      -0.13245511054992676        8.5356621864644140       -7.0619729562370531E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
